trial_type	stim	verb	anim	AP	CR	syntax	probe
s_Console_Anim_Act_Can	1	8	2	1	1	1	0
s_Console_Anim_Act_Rel	1	8	2	1	2	2	0
s_Console_Anim_Pass_Can	1	8	2	2	1	3	0
s_Console_Anim_Pass_Rel	1	8	2	2	2	4	0
s_Crush_Inanim_Act_Can	1	4	1	1	1	1	0
s_Crush_Inanim_Act_Rel	1	4	1	1	2	2	0
s_Crush_Inanim_Pass_Can	1	4	1	2	1	3	0
s_Crush_Inanim_Pass_Rel	1	4	1	2	2	4	0
s_Hit_Inanim_Act_Can	1	3	1	1	1	1	0
s_Hit_Inanim_Act_Rel	1	3	1	1	2	2	0
s_Hit_Inanim_Pass_Can	1	3	1	2	1	3	0
s_Hit_Inanim_Pass_Rel	1	3	1	2	2	4	0
s_Kick_Anim_Act_Can	1	7	2	1	1	1	0
s_Kick_Anim_Act_Rel	1	7	2	1	2	2	0
s_Kick_Anim_Pass_Can	1	7	2	2	1	3	0
s_Kick_Anim_Pass_Rel	1	7	2	2	2	4	0
s_Kiss_Anim_Act_Can	1	5	2	1	1	1	0
s_Kiss_Anim_Act_Rel	1	5	2	1	2	2	0
s_Kiss_Anim_Pass_Can	1	5	2	2	1	3	0
s_Kiss_Anim_Pass_Rel	1	5	2	2	2	4	0
s_Light_Inanim_Act_Can	1	2	1	1	1	1	0
s_Light_Inanim_Act_Rel	1	2	1	1	2	2	0
s_Light_Inanim_Pass_Can	1	2	1	2	1	3	0
s_Light_Inanim_Pass_Rel	1	2	1	2	2	4	0
s_Stretch_Anim_Act_Can	1	6	2	1	1	1	0
s_Stretch_Anim_Act_Rel	1	6	2	1	2	2	0
s_Stretch_Anim_Pass_Can	1	6	2	2	1	3	0
s_Stretch_Anim_Pass_Rel	1	6	2	2	2	4	0
s_Touch_Inanim_Act_Can	1	1	1	1	1	1	0
s_Touch_Inanim_Act_Rel	1	1	1	1	2	2	0
s_Touch_Inanim_Pass_Can	1	1	1	2	1	3	0
s_Touch_Inanim_Pass_Rel	1	1	1	2	2	4	0
l_Console_Anim_Act_Can	2	8	2	1	1	1	0
l_Console_Anim_Act_Rel	2	8	2	1	2	2	0
l_Console_Anim_Pass_Can	2	8	2	2	1	3	0
l_Console_Anim_Pass_Rel	2	8	2	2	2	4	0
l_Crush_Inanim_Act_Can	2	4	1	1	1	1	0
l_Crush_Inanim_Act_Rel	2	4	1	1	2	2	0
l_Crush_Inanim_Pass_Can	2	4	1	2	1	3	0
l_Crush_Inanim_Pass_Rel	2	4	1	2	2	4	0
l_Hit_Inanim_Act_Can	2	3	1	1	1	1	0
l_Hit_Inanim_Act_Rel	2	3	1	1	2	2	0
l_Hit_Inanim_Pass_Can	2	3	1	2	1	3	0
l_Hit_Inanim_Pass_Rel	2	3	1	2	2	4	0
l_Kick_Anim_Act_Can	2	7	2	1	1	1	0
l_Kick_Anim_Act_Rel	2	7	2	1	2	2	0
l_Kick_Anim_Pass_Can	2	7	2	2	1	3	0
l_Kick_Anim_Pass_Rel	2	7	2	2	2	4	0
l_Kiss_Anim_Act_Can	2	5	2	1	1	1	0
l_Kiss_Anim_Act_Rel	2	5	2	1	2	2	0
l_Kiss_Anim_Pass_Can	2	5	2	2	1	3	0
l_Kiss_Anim_Pass_Rel	2	5	2	2	2	4	0
l_Light_Inanim_Act_Can	2	2	1	1	1	1	0
l_Light_Inanim_Act_Rel	2	2	1	1	2	2	0
l_Light_Inanim_Pass_Can	2	2	1	2	1	3	0
l_Light_Inanim_Pass_Rel	2	2	1	2	2	4	0
l_Stretch_Anim_Act_Can	2	6	2	1	1	1	0
l_Stretch_Anim_Act_Rel	2	6	2	1	2	2	0
l_Stretch_Anim_Pass_Can	2	6	2	2	1	3	0
l_Stretch_Anim_Pass_Rel	2	6	2	2	2	4	0
l_Touch_Inanim_Act_Can	2	1	1	1	1	1	0
l_Touch_Inanim_Act_Rel	2	1	1	1	2	2	0
l_Touch_Inanim_Pass_Can	2	1	1	2	1	3	0
l_Touch_Inanim_Pass_Rel	2	1	1	2	2	4	0
probe	0	0	0	0	0	0	1
rest	rest	rest	rest	rest	rest	rest	rest
